tag,commit,date,overall_score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
v0.20.0,f06c3c2edc9e7d0176ad6007042a71dacdb99dc0,2023-12-14T10:34:55-05:00,4.6,10,-1,0,-1,6,-1,0,-1,-1,10,-1,-1,7,-1,0,-1,10,0
v0.21.0,d54f4fbeb703888ac1260b70ae6f1347dc04d684,2024-01-01T15:22:22-06:00,4.8,10,-1,0,-1,7,-1,0,-1,-1,10,-1,-1,7,-1,0,-1,10,0
v0.22.0,923afb11cb49ef31b949a2d84b9bd325aeff0804,2024-01-12T13:12:21-05:00,5.0,10,-1,0,-1,9,-1,0,-1,-1,10,-1,-1,6,-1,0,-1,10,0
v0.23.0,58f79c3d7cbbded2246d3f5bd619731362bcf52e,2024-01-22T10:25:44-07:00,4.8,10,-1,0,-1,8,-1,0,-1,-1,10,-1,-1,6,-1,0,-1,10,0
v0.24.0,5a21ca5d232371291c50dca5af440af3060483e4,2024-02-02T15:13:04-05:00,4.9,10,-1,0,-1,8,-1,0,-1,-1,10,-1,-1,7,-1,0,-1,10,0
v0.25.0,7e1d8f882121a91058ca8f2a0abf22942a25dc1d,2024-02-09T11:11:30-05:00,4.9,10,-1,0,-1,8,-1,0,-1,-1,10,-1,-1,7,-1,0,-1,10,0
v0.26.0,ad70df3b7f8d9cff7cdc3ef02b04f3299322e94e,2024-02-16T15:39:35-05:00,6.9,10,-1,0,-1,9,-1,10,-1,-1,10,-1,-1,7,-1,0,-1,10,0
v0.27.0,9842418f00fea1a2c0e8d028c4ca5a74127fd27a,2024-02-28T13:02:47-05:00,6.8,10,-1,0,-1,9,-1,10,-1,-1,10,-1,-1,6,-1,0,-1,10,0
v0.28.0,eeec4dbd0ab56e6e8f5c05fc8bb2b1a4446da67c,2024-03-08T10:32:27-05:00,6.8,10,-1,0,-1,9,-1,10,-1,-1,10,-1,-1,6,-1,0,-1,10,0
v0.29.0,a0b27bbdc8c430e4cc2c83254dc8fc016c066e8b,2024-04-08T11:25:45-04:00,5.3,10,-1,0,-1,1,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,0,0
v0.30.0,02d5c36806476cb3bc1c6acb20e120c4782aa918,2024-05-03T07:50:55-04:00,7.9,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.31.0,82ed82ef42257dc0989c76d9f80114f9de8fc357,2024-05-17T13:06:57-04:00,7.9,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.32.0,a81b3623d8b1fb2c0b5582e941fa707d84eee538,2024-06-12T08:20:02-04:00,8.0,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.33.0,bf226faa7d36b33cb0623d03b192dc60c1cb9f0b,2024-07-23T14:11:54-04:00,8.0,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.34.0,a1bed174aca44d7a6abdbb12528f4c54f98a7580,2024-08-07T13:59:51-04:00,8.0,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.35.0,6378c9493634dd3394e02856dd6ef11fe7e8151f,2024-08-28T09:30:05-04:00,7.6,10,-1,0,-1,7,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.36.0,f9186c91d3cb7209c9cf0057ce744519e20b0da1,2024-09-16T13:16:42-04:00,8.0,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.37.0,1e42d49cc90cf82ce85a57fb574917319db3c102,2024-09-30T12:22:12-04:00,7.7,10,-1,0,-1,8,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.38.0,7d265d22510b2fc6d08171267f336f7d15ef919f,2024-10-15T14:13:20-04:00,6.6,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,0,0
v0.39.0,c84043ed81efd1ca1ce09ef621592ee41eb30165,2024-11-07T08:24:29-05:00,6.5,10,-1,0,-1,9,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,0,0
v0.40.0,5d858207646b7cb0f13bb0aa540751a8f6d74f39,2024-11-20T10:03:53-05:00,6.4,10,-1,0,-1,8,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,0,0
v0.42.0,a6b66201ae023800b509aebf99c3466224645cfb,2024-12-05T22:15:52-05:00,6.6,10,-1,0,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,0,0
v0.43.0,1bb73c5c24581812f80f747402930b8aeb9a97db,2025-01-22T09:55:43-05:00,7.0,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,0,0
v0.44.0,a31f1d601de0cd1c92cbc418d88ffe01e98de989,2025-01-24T11:03:33-05:00,7.1,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,0,0
v0.45.0,e1c6eff4d073da222f055686ba32b400148845b5,2025-02-04T10:34:20-05:00,7.0,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,0,0
v0.46.0,3d262471dc74893d93e7c757cd6f37a386bdf2c8,2025-02-19T13:41:38-05:00,8.5,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.47.0,fb63333b6126e6f7a96a9cb9283c94ca849fe518,2025-04-01T07:46:59-04:00,8.5,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.48.0,5e4dadd04046f5e14bba6d37ddfe9e052de147c5,2025-04-13T07:30:52-04:00,8.4,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.49.0,9d207f03a6609c9c89646eb727915f912aea6852,2025-04-29T12:38:24-04:00,8.5,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,8,-1,10,-1,10,0
v0.50.0,9cae6c5909f437423fd92218cd8f54596f827702,2025-05-13T07:35:26-04:00,8.4,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.51.0,88168ad3f2339bfb216bbff933016deba459f6ae,2025-05-27T07:19:48-04:00,8.4,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.52.0,75e0d99863712cb6ca438611b4560e253fe4a787,2025-07-22T07:17:31-04:00,8.4,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.53.0,e3a9f233088498ac5aa873e97e0e6dcb074ec7cf,2025-08-19T11:39:10-04:00,8.4,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.54.0,3f924e7e6ce3e85e33532d01636a643cbb9b5dd2,2025-09-03T12:12:12-04:00,8.4,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
v0.55.0,bf6579190b3c9ee3c0e6a6c85f3f96831d5b6827,2025-09-16T11:00:03-04:00,8.4,10,-1,10,-1,10,-1,10,-1,-1,10,-1,-1,7,-1,10,-1,10,0
